region,year,pib,index,short,tier,pib_nacional,share_pct
Región De La Araucanía,2022,6780.55,199.24334807457797,Araucanía (Temuco),3,235638.39,2.8775234799389016
Región De La Araucanía,2023,7743.1101781008,227.52773689378373,Araucanía (Temuco),3,253842.2737175852,3.0503627566444966
Región De Los Lagos,2013,3697.15,100.0,Los Lagos (Pto. Montt),3,123676.11,2.989380891750234
Región De Los Lagos,2014,4500.71,121.73457933813883,Los Lagos (Pto. Montt),3,133075.08,3.382083257060601
Región De Los Lagos,2015,4722.95,127.74569600908808,Los Lagos (Pto. Montt),3,142536.91,3.3134926244717944
Región De Los Lagos,2016,5375.61,145.3987530935991,Los Lagos (Pto. Montt),3,151702.18,3.5435285109284522
Región De Los Lagos,2017,6140.66,166.09171929729655,Los Lagos (Pto. Montt),3,161166.30000000002,3.8101389682582516
Región De Los Lagos,2018,6305.16,170.54109246311347,Los Lagos (Pto. Montt),3,169996.24,3.7089996814047184
Región De Los Lagos,2019,6732.07,182.08809488389704,Los Lagos (Pto. Montt),3,176081.35,3.823272595308929
Región De Los Lagos,2020,6634.72,179.45498559701392,Los Lagos (Pto. Montt),3,181637.58,3.6527242875620787
Región De Los Lagos,2021,7393.11,199.96781304518342,Los Lagos (Pto. Montt),3,214809.82,3.4417001978773594
Región De Los Lagos,2022,8548.62,231.22188712927527,Los Lagos (Pto. Montt),3,235638.39,3.6278553761974015
Región De Los Lagos,2023,9431.9309274235,255.1135584821687,Los Lagos (Pto. Montt),3,253842.2737175852,3.7156659485004027
